SN, U, D, L, R, Rotate, ShiftX, ShiftY, 
-9.70, 58, 86, 52, 55, 0.210815372438771, 204, -45, 
-9.71, 53, 81, 49, 51, 0.242576877119974, 203, -45, 
-9.72, 49, 76, 44, 48, 0.275207375801777, 203, -46, 
-9.73, 44, 70, 41, 44, 0.269923999508724, 202, -45, 
-9.74, 40, 68, 39, 42, 0.271734994266818, 202, -45, 
-9.75, 37, 63, 37, 39, 0.297239901287479, 202, -45, 
-9.76, 34, 62, 36, 37, 0.341674343347785, 201, -45, 
-9.77, 33, 62, 36, 37, 0.336540416102786, 200, -45, 
-9.78, 34, 63, 37, 38, 0.366359938363634, 200, -46, 
-9.79, 38, 65, 38, 39, 0.366000576674053, 199, -47, 
-9.80, 42, 70, 40, 41, 0.330018507498741, 199, -48, 
-9.80, 43, 71, 40, 41, 0.321897385009098, 199, -48, 
-9.81, 47, 74, 43, 43, 0.295106005992045, 199, -47, 
-9.82, 51, 80, 46, 47, 0.283600304091345, 198, -46, 
-9.83, 56, 86, 49, 50, 0.274923261019996, 199, -46, 
-9.84, 62, 94, 54, 54, 0.263098323340451, 200, -46, 
-9.85, 65, 100, 58, 57, 0.258242166507167, 201, -46, 
-9.86, 70, 106, 62, 61, 0.245191544283574, 201, -46, 
-9.87, 75, 111, 67, 65, 0.232652727937631, 202, -46, 
-9.88, 79, 117, 69, 68, 0.247997715985287, 203, -47, 
-9.89, 84, 123, 73, 72, 0.235625073156713, 204, -48, 
-9.90, 90, 128, 76, 76, 0.221626450935062, 204, -48, 
