00:00:00 259	3  GrabFrame times:0,result=
00:00:00 315	 2 getImage times:1
00:00:01 318	3  GrabFrame times:1,result=
00:00:01 372	 2 getImage times:2
00:00:02 377	3  GrabFrame times:2,result=
00:00:02 431	 1:start getImage
00:00:02 435	 2 getImage times:0
00:00:03 439	3  GrabFrame times:0,result=
00:00:03 495	 2 getImage times:1
00:00:04 500	3  GrabFrame times:1,result=
00:00:04 556	 2 getImage times:2
00:00:05 562	3  GrabFrame times:2,result=
00:00:05 618	 1:start getImage
00:00:05 622	 2 getImage times:0
00:00:06 627	3  GrabFrame times:0,result=
00:00:06 683	 2 getImage times:1
00:00:07 688	3  GrabFrame times:1,result=
00:00:07 744	 2 getImage times:2
00:00:08 750	3  GrabFrame times:2,result=
00:00:08 806	 start loadPinDef
00:00:08 814	 finished loadPinDef
00:00:08 822	 start setSN
00:00:08 826	start cam_stop 
00:00:08 960	finish cam_stop 
00:00:09 465	start cam_stop 
00:00:09 585	finish cam_stop 
00:00:09 589	 start Playnew
00:00:09 593	into cam_play:deviceID0 
00:00:09 595	openDevice:deviceID0 
00:00:09 735	开始sensor power:deviceID 0 
00:00:10 037	完成sensor power:deviceID 0 
00:00:10 053	完成Pin set:deviceID 0 
00:00:10 341	完成I2C set:deviceID 0 
00:00:10 467	start InitSensor :deviceID 0 
00:00:10 771	完成 InitSensor  :deviceID 0 
00:00:10 775	set image format  :deviceID 0 
00:00:10 797	start Video :deviceID 0 
00:00:10 807	malloc memory :deviceID 0 
00:00:10 811	 WriteI2C:34,0,998,0 
00:00:10 815	 write I2C 0x998
00:00:11 598	finished play :deviceID 0 
00:00:11 602	 1:start getImage
00:00:11 606	 2 getImage times:0
00:00:11 610	3  GrabFrame times:0,result=
00:00:11 618	 5 ImageProcess result=
00:00:11 624	7 finish getImage
00:00:11 630	 1:start getImage
00:00:11 634	 2 getImage times:0
00:00:11 640	3  GrabFrame times:0,result=
00:00:11 648	 5 ImageProcess result=
00:00:11 654	7 finish getImage
00:00:11 664	 WriteI2C:fc,0,998,100 
00:00:11 670	 write I2C 0x998
00:00:33 666	 start loadPinDef
00:00:33 672	 finished loadPinDef
00:00:33 676	 start setSN
00:00:33 680	start cam_stop 
00:00:33 809	finish cam_stop 
00:00:34 317	start cam_stop 
00:00:34 433	finish cam_stop 
00:00:34 437	 start Playnew
00:00:34 439	into cam_play:deviceID0 
00:00:34 443	openDevice:deviceID0 
00:00:34 579	开始sensor power:deviceID 0 
00:00:34 879	完成sensor power:deviceID 0 
00:00:34 895	完成Pin set:deviceID 0 
00:00:35 183	完成I2C set:deviceID 0 
00:00:35 311	start InitSensor :deviceID 0 
00:00:35 614	完成 InitSensor  :deviceID 0 
00:00:35 618	set image format  :deviceID 0 
00:00:35 640	start Video :deviceID 0 
00:00:35 650	malloc memory :deviceID 0 
00:00:35 656	 WriteI2C:34,0,998,0 
00:00:35 658	 write I2C 0x998
00:00:36 444	finished play :deviceID 0 
00:00:36 448	 1:start getImage
00:00:36 454	 2 getImage times:0
00:00:36 458	3  GrabFrame times:0,result=
00:00:36 468	 5 ImageProcess result=
00:00:36 474	7 finish getImage
00:00:36 480	 1:start getImage
00:00:36 484	 2 getImage times:0
00:00:36 488	3  GrabFrame times:0,result=
00:00:36 496	 5 ImageProcess result=
00:00:36 502	7 finish getImage
00:00:36 510	 WriteI2C:fc,0,998,100 
00:00:36 514	 write I2C 0x998
00:00:37 297	 1:start getImage
00:00:37 307	 2 getImage times:0
00:00:37 317	3  GrabFrame times:0,result=
00:00:37 333	 5 ImageProcess result=
00:00:37 351	7 finish getImage
00:00:37 363	 1:start getImage
00:00:37 375	 2 getImage times:0
00:00:37 381	3  GrabFrame times:0,result=
00:00:37 393	 5 ImageProcess result=
00:00:37 401	7 finish getImage
00:00:37 597	 1:start getImage
00:00:37 601	 2 getImage times:0
00:00:37 605	3  GrabFrame times:0,result=
00:00:37 613	 5 ImageProcess result=
00:00:37 619	7 finish getImage
00:00:37 625	 1:start getImage
00:00:37 631	 2 getImage times:0
00:00:37 641	3  GrabFrame times:0,result=
00:00:37 647	 5 ImageProcess result=
00:00:37 655	7 finish getImage
00:00:37 829	 1:start getImage
00:00:37 835	 2 getImage times:0
00:00:37 841	3  GrabFrame times:0,result=
00:00:37 851	 5 ImageProcess result=
00:00:37 859	7 finish getImage
00:00:37 863	 1:start getImage
00:00:37 867	 2 getImage times:0
00:00:37 881	3  GrabFrame times:0,result=
00:00:37 889	 5 ImageProcess result=
00:00:37 895	7 finish getImage
00:00:38 073	 1:start getImage
00:00:38 077	 2 getImage times:0
00:00:38 081	3  GrabFrame times:0,result=
00:00:38 089	 5 ImageProcess result=
00:00:38 095	7 finish getImage
00:00:38 101	 1:start getImage
00:00:38 103	 2 getImage times:0
00:00:38 121	3  GrabFrame times:0,result=
00:00:38 129	 5 ImageProcess result=
00:00:38 135	7 finish getImage
00:00:38 309	 1:start getImage
00:00:38 313	 2 getImage times:0
00:00:38 321	3  GrabFrame times:0,result=
00:00:38 329	 5 ImageProcess result=
00:00:38 337	7 finish getImage
00:00:38 341	 1:start getImage
00:00:38 345	 2 getImage times:0
00:00:38 361	3  GrabFrame times:0,result=
00:00:38 369	 5 ImageProcess result=
00:00:38 375	7 finish getImage
00:00:38 555	 1:start getImage
00:00:38 559	 2 getImage times:0
00:00:38 563	3  GrabFrame times:0,result=
00:00:38 571	 5 ImageProcess result=
00:00:38 577	7 finish getImage
00:00:38 583	 1:start getImage
00:00:38 591	 2 getImage times:0
00:00:38 601	3  GrabFrame times:0,result=
00:00:38 609	 5 ImageProcess result=
00:00:38 615	7 finish getImage
00:00:38 789	 1:start getImage
00:00:38 793	 2 getImage times:0
00:00:38 801	3  GrabFrame times:0,result=
00:00:38 811	 5 ImageProcess result=
00:00:38 817	7 finish getImage
00:00:38 823	 1:start getImage
00:00:38 827	 2 getImage times:0
00:00:38 841	3  GrabFrame times:0,result=
00:00:38 849	 5 ImageProcess result=
00:00:38 857	7 finish getImage
00:00:39 034	 1:start getImage
00:00:39 038	 2 getImage times:0
00:00:39 044	3  GrabFrame times:0,result=
00:00:39 054	 5 ImageProcess result=
00:00:39 062	7 finish getImage
00:00:39 068	 1:start getImage
00:00:39 076	 2 getImage times:0
00:00:39 080	3  GrabFrame times:0,result=
00:00:39 088	 5 ImageProcess result=
00:00:39 096	7 finish getImage
00:00:39 268	 1:start getImage
00:00:39 276	 2 getImage times:0
00:00:39 284	3  GrabFrame times:0,result=
00:00:39 292	 5 ImageProcess result=
00:00:39 298	7 finish getImage
00:00:39 304	 1:start getImage
00:00:39 308	 2 getImage times:0
00:00:39 320	3  GrabFrame times:0,result=
00:00:39 328	 5 ImageProcess result=
00:00:39 334	7 finish getImage
00:00:39 512	 1:start getImage
00:00:39 516	 2 getImage times:0
00:00:39 520	3  GrabFrame times:0,result=
00:00:39 528	 5 ImageProcess result=
00:00:39 534	7 finish getImage
00:00:39 538	 1:start getImage
00:00:39 542	 2 getImage times:0
00:00:39 548	3  GrabFrame times:0,result=
00:00:39 558	 5 ImageProcess result=
00:00:39 566	7 finish getImage
00:00:39 738	 1:start getImage
00:00:39 742	 2 getImage times:0
00:00:39 746	3  GrabFrame times:0,result=
00:00:39 754	 5 ImageProcess result=
00:00:39 764	7 finish getImage
00:00:39 768	 1:start getImage
00:00:39 774	 2 getImage times:0
00:00:39 778	3  GrabFrame times:0,result=
00:00:39 786	 5 ImageProcess result=
00:00:39 794	7 finish getImage
00:00:39 968	 1:start getImage
00:00:39 972	 2 getImage times:0
00:00:39 976	3  GrabFrame times:0,result=
00:00:39 984	 5 ImageProcess result=
00:00:39 990	7 finish getImage
00:00:39 996	 1:start getImage
00:00:40 000	 2 getImage times:0
00:00:40 004	3  GrabFrame times:0,result=
00:00:40 012	 5 ImageProcess result=
00:00:40 018	7 finish getImage
00:00:40 196	 1:start getImage
00:00:40 200	 2 getImage times:0
00:00:40 204	3  GrabFrame times:0,result=
00:00:40 212	 5 ImageProcess result=
00:00:40 218	7 finish getImage
00:00:40 224	 1:start getImage
00:00:40 228	 2 getImage times:0
00:00:40 240	3  GrabFrame times:0,result=
00:00:40 250	 5 ImageProcess result=
00:00:40 256	7 finish getImage
00:00:40 430	 1:start getImage
00:00:40 434	 2 getImage times:0
00:00:40 438	3  GrabFrame times:0,result=
00:00:40 450	 5 ImageProcess result=
00:00:40 456	7 finish getImage
00:00:40 462	 1:start getImage
00:00:40 466	 2 getImage times:0
00:00:40 470	3  GrabFrame times:0,result=
00:00:40 476	 5 ImageProcess result=
00:00:40 482	7 finish getImage
00:00:40 656	 1:start getImage
00:00:40 660	 2 getImage times:0
00:00:40 664	3  GrabFrame times:0,result=
00:00:40 672	 5 ImageProcess result=
00:00:40 678	7 finish getImage
00:00:40 684	 1:start getImage
00:00:40 686	 2 getImage times:0
00:00:40 690	3  GrabFrame times:0,result=
00:00:40 698	 5 ImageProcess result=
00:00:40 706	7 finish getImage
00:00:40 883	 1:start getImage
00:00:40 887	 2 getImage times:0
00:00:40 891	3  GrabFrame times:0,result=
00:00:40 901	 5 ImageProcess result=
00:00:40 909	7 finish getImage
00:00:40 915	 1:start getImage
00:00:40 923	 2 getImage times:0
00:00:40 929	3  GrabFrame times:0,result=
00:00:40 939	 5 ImageProcess result=
00:00:40 947	7 finish getImage
00:00:41 309	 1:start getImage
00:00:41 313	 2 getImage times:0
00:00:41 317	3  GrabFrame times:0,result=
00:00:41 373	 2 getImage times:1
00:00:41 377	3  GrabFrame times:1,result=
00:00:41 433	 2 getImage times:2
00:00:41 437	3  GrabFrame times:2,result=
00:00:41 495	 1:start getImage
00:00:41 501	 2 getImage times:0
00:00:41 505	3  GrabFrame times:0,result=
00:00:41 561	 2 getImage times:1
00:00:41 565	3  GrabFrame times:1,result=
00:00:41 621	 2 getImage times:2
00:00:41 625	3  GrabFrame times:2,result=
00:00:41 681	 1:start getImage
