00:00:07 214	 start loadPinDef
00:00:07 218	 finished loadPinDef
00:00:07 222	 start setSN
00:00:07 223	start cam_stop 
00:00:07 334	finish cam_stop 
00:00:07 836	start cam_stop 
00:00:07 948	finish cam_stop 
00:00:07 949	 start Playnew
00:00:07 950	into cam_play:deviceID1 
00:00:07 950	openDevice:deviceID1 
00:00:08 084	开始sensor power:deviceID 1 
00:00:08 378	完成sensor power:deviceID 1 
00:00:08 389	完成Pin set:deviceID 1 
00:00:08 670	完成I2C set:deviceID 1 
00:00:08 792	start InitSensor :deviceID 1 
00:00:09 091	完成 InitSensor  :deviceID 1 
00:00:09 092	set image format  :deviceID 1 
00:00:09 111	start Video :deviceID 1 
00:00:09 119	malloc memory :deviceID 1 
00:00:09 121	 WriteI2C:34,0,998,0 
00:00:09 122	 write I2C 0x998
00:00:09 903	finished play :deviceID 1 
00:00:09 904	 1:start getImage
00:00:09 905	 2 getImage times:0
00:00:09 907	3  GrabFrame times:0,result=
00:00:09 912	 5 ImageProcess result=
00:00:09 916	7 finish getImage
00:00:09 918	 1:start getImage
00:00:09 918	 2 getImage times:0
00:00:09 922	3  GrabFrame times:0,result=
00:00:09 926	 5 ImageProcess result=
00:00:09 929	7 finish getImage
00:00:09 932	 WriteI2C:fc,0,998,100 
00:00:09 933	 write I2C 0x998
00:01:03 611	 1:start getImage
00:01:03 612	 2 getImage times:0
00:01:03 613	3  GrabFrame times:0,result=
00:01:03 618	 5 ImageProcess result=
00:01:03 621	7 finish getImage
00:01:03 622	 1:start getImage
00:01:03 623	 2 getImage times:0
00:01:03 642	3  GrabFrame times:0,result=
00:01:03 646	 5 ImageProcess result=
00:01:03 649	7 finish getImage
00:01:04 384	 1:start getImage
00:01:04 385	 2 getImage times:0
00:01:04 386	3  GrabFrame times:0,result=
00:01:04 391	 5 ImageProcess result=
00:01:04 394	7 finish getImage
00:01:04 396	 1:start getImage
00:01:04 397	 2 getImage times:0
00:01:04 402	3  GrabFrame times:0,result=
00:01:04 407	 5 ImageProcess result=
00:01:04 410	7 finish getImage
00:01:05 191	 1:start getImage
00:01:05 192	 2 getImage times:0
00:01:05 193	3  GrabFrame times:0,result=
00:01:05 198	 5 ImageProcess result=
00:01:05 201	7 finish getImage
00:01:05 202	 1:start getImage
00:01:05 203	 2 getImage times:0
00:01:05 204	3  GrabFrame times:0,result=
00:01:05 209	 5 ImageProcess result=
00:01:05 212	7 finish getImage
00:01:05 633	 1:start getImage
00:01:05 634	 2 getImage times:0
00:01:05 635	3  GrabFrame times:0,result=
00:01:05 640	 5 ImageProcess result=
00:01:05 643	7 finish getImage
00:01:05 645	 1:start getImage
00:01:05 645	 2 getImage times:0
00:01:05 646	3  GrabFrame times:0,result=
