00:00:00 144	 1:start getImage
00:00:00 160	 2 getImage times:0
00:00:00 161	3  GrabFrame times:0,result=
00:00:00 166	 5 ImageProcess result=
00:00:00 169	7 finish getImage
00:00:00 170	 1:start getImage
00:00:00 171	 2 getImage times:0
00:00:00 176	3  GrabFrame times:0,result=
00:00:00 181	 5 ImageProcess result=
00:00:00 184	7 finish getImage
00:00:00 670	 1:start getImage
00:00:00 670	 2 getImage times:0
00:00:00 671	3  GrabFrame times:0,result=
00:00:00 677	 5 ImageProcess result=
00:00:00 681	7 finish getImage
00:00:00 682	 1:start getImage
00:00:00 683	 2 getImage times:0
00:00:00 696	3  GrabFrame times:0,result=
00:00:00 701	 5 ImageProcess result=
00:00:00 704	7 finish getImage
00:00:01 184	 1:start getImage
00:00:01 184	 2 getImage times:0
00:00:01 185	3  GrabFrame times:0,result=
00:00:01 191	 5 ImageProcess result=
00:00:01 194	7 finish getImage
00:00:01 195	 1:start getImage
00:00:01 196	 2 getImage times:0
00:00:01 215	3  GrabFrame times:0,result=
00:00:01 220	 5 ImageProcess result=
00:00:01 223	7 finish getImage
00:00:01 706	 1:start getImage
00:00:01 706	 2 getImage times:0
00:00:01 707	3  GrabFrame times:0,result=
00:00:01 713	 5 ImageProcess result=
00:00:01 716	7 finish getImage
00:00:01 717	 1:start getImage
00:00:01 718	 2 getImage times:0
00:00:01 735	3  GrabFrame times:0,result=
00:00:01 740	 5 ImageProcess result=
00:00:01 744	7 finish getImage
00:00:02 224	 1:start getImage
00:00:02 224	 2 getImage times:0
00:00:02 225	3  GrabFrame times:0,result=
00:00:02 231	 5 ImageProcess result=
00:00:02 235	7 finish getImage
00:00:02 238	 1:start getImage
00:00:02 238	 2 getImage times:0
00:00:02 255	3  GrabFrame times:0,result=
00:00:02 261	 5 ImageProcess result=
00:00:02 264	7 finish getImage
00:00:02 743	 1:start getImage
00:00:02 743	 2 getImage times:0
00:00:02 744	3  GrabFrame times:0,result=
00:00:02 749	 5 ImageProcess result=
00:00:02 753	7 finish getImage
00:00:02 754	 1:start getImage
00:00:02 754	 2 getImage times:0
00:00:02 774	3  GrabFrame times:0,result=
00:00:02 780	 5 ImageProcess result=
00:00:02 783	7 finish getImage
00:00:04 706	 1:start getImage
00:00:04 706	 2 getImage times:0
00:00:04 707	3  GrabFrame times:0,result=
00:00:04 712	 5 ImageProcess result=
00:00:04 716	7 finish getImage
00:00:04 717	 1:start getImage
00:00:04 718	 2 getImage times:0
00:00:04 734	3  GrabFrame times:0,result=
00:00:04 739	 5 ImageProcess result=
00:00:04 742	7 finish getImage
00:00:04 989	 1:start getImage
00:00:04 989	 2 getImage times:0
00:00:04 990	3  GrabFrame times:0,result=
00:00:04 995	 5 ImageProcess result=
00:00:04 998	7 finish getImage
00:00:05 000	 1:start getImage
00:00:05 001	 2 getImage times:0
00:00:05 014	3  GrabFrame times:0,result=
00:00:05 019	 5 ImageProcess result=
00:00:05 022	7 finish getImage
00:00:05 480	 1:start getImage
00:00:05 480	 2 getImage times:0
00:00:05 481	3  GrabFrame times:0,result=
00:00:05 486	 5 ImageProcess result=
00:00:05 489	7 finish getImage
00:00:05 491	 1:start getImage
00:00:05 491	 2 getImage times:0
00:00:05 494	3  GrabFrame times:0,result=
00:00:05 499	 5 ImageProcess result=
00:00:05 502	7 finish getImage
00:00:27 302	start cam_stop 
00:00:27 426	finish cam_stop 
00:01:43 314	 start loadPinDef
00:01:43 317	 finished loadPinDef
00:01:43 319	 start setSN
00:01:43 320	start cam_stop 
00:01:43 431	finish cam_stop 
00:01:43 932	start cam_stop 
00:01:44 043	finish cam_stop 
00:01:44 043	 start Playnew
00:01:44 044	into cam_play:deviceID1 
00:01:44 044	openDevice:deviceID1 
00:01:44 176	开始sensor power:deviceID 1 
00:01:44 469	完成sensor power:deviceID 1 
00:01:44 480	完成Pin set:deviceID 1 
00:01:44 760	完成I2C set:deviceID 1 
00:01:44 881	start InitSensor :deviceID 1 
00:01:44 916	完成 InitSensor  :deviceID 1 
00:01:44 916	set image format  :deviceID 1 
00:01:44 935	start Video :deviceID 1 
00:01:44 942	malloc memory :deviceID 1 
00:01:44 944	finished play :deviceID 1 
00:01:44 945	 1:start getImage
00:01:44 945	 2 getImage times:0
00:01:45 023	3  GrabFrame times:0,result=
00:01:45 029	 5 ImageProcess result=
00:01:45 033	7 finish getImage
00:01:45 035	 1:start getImage
00:01:45 035	 2 getImage times:0
00:01:45 062	3  GrabFrame times:0,result=
00:01:45 068	 5 ImageProcess result=
00:01:45 072	7 finish getImage
00:02:39 161	 1:start getImage
